Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;;Total;Todas las edades;Dato base;2018SM41;7.500
Total Nacional;;Total;Todas las edades;Dato base;2018SM40;7.270
Total Nacional;;Total;Todas las edades;Dato base;2018SM39;7.296
Total Nacional;;Total;Todas las edades;Dato base;2018SM38;7.217
Total Nacional;;Total;Todas las edades;Dato base;2018SM37;6.880
Total Nacional;;Total;Todas las edades;Dato base;2018SM36;6.957
Total Nacional;;Total;Todas las edades;Dato base;2018SM35;6.977
Total Nacional;;Total;Todas las edades;Dato base;2018SM34;7.069
Total Nacional;;Total;Todas las edades;Dato base;2018SM33;7.239
Total Nacional;;Total;Todas las edades;Dato base;2018SM32;8.047
Total Nacional;;Total;Todas las edades;Dato base;2018SM31;7.785
Total Nacional;;Total;Todas las edades;Dato base;2018SM30;7.196
Total Nacional;;Total;Todas las edades;Dato base;2018SM29;7.224
Total Nacional;;Total;Todas las edades;Dato base;2018SM28;7.411
Total Nacional;;Total;Todas las edades;Dato base;2018SM27;7.352
Total Nacional;;Total;Todas las edades;Dato base;2018SM26;7.762
Total Nacional;;Total;Todas las edades;Dato base;2018SM25;7.774
Total Nacional;;Total;Todas las edades;Dato base;2018SM24;7.202
Total Nacional;;Total;Todas las edades;Dato base;2018SM23;7.167
Total Nacional;;Total;Todas las edades;Dato base;2018SM22;7.346
Total Nacional;;Total;Todas las edades;Dato base;2018SM21;7.565
Total Nacional;;Total;Todas las edades;Dato base;2018SM20;7.560
Total Nacional;;Total;Todas las edades;Dato base;2018SM19;7.641
Total Nacional;;Total;Todas las edades;Dato base;2018SM18;7.409
Total Nacional;;Total;Todas las edades;Dato base;2018SM17;7.779
Total Nacional;;Total;Todas las edades;Dato base;2018SM16;8.155
Total Nacional;;Total;Todas las edades;Dato base;2018SM15;8.373
Total Nacional;;Total;Todas las edades;Dato base;2018SM14;8.459
Total Nacional;;Total;Todas las edades;Dato base;2018SM13;8.672
Total Nacional;;Total;Todas las edades;Dato base;2018SM12;8.655
Total Nacional;;Total;Todas las edades;Dato base;2018SM11;8.907
Total Nacional;;Total;Todas las edades;Dato base;2018SM10;9.241
Total Nacional;;Total;Todas las edades;Dato base;2018SM09;9.646
Total Nacional;;Total;Todas las edades;Dato base;2018SM08;9.704
Total Nacional;;Total;Todas las edades;Dato base;2018SM07;10.147
Total Nacional;;Total;Todas las edades;Dato base;2018SM06;10.065
Total Nacional;;Total;Todas las edades;Dato base;2018SM05;9.955
Total Nacional;;Total;Todas las edades;Dato base;2018SM04;10.376
Total Nacional;;Total;Todas las edades;Dato base;2018SM03;11.014
Total Nacional;;Total;Todas las edades;Dato base;2018SM02;10.987
Total Nacional;;Total;Todas las edades;Dato base;2018SM01;11.260
Total Nacional;;Total;Todas las edades;Dato base;2017SM52;10.475
Total Nacional;;Total;Todas las edades;Dato base;2017SM51;9.667
Total Nacional;;Total;Todas las edades;Dato base;2017SM50;9.307
Total Nacional;;Total;Todas las edades;Dato base;2017SM49;8.658
Total Nacional;;Total;Todas las edades;Dato base;2017SM48;8.295
Total Nacional;;Total;Todas las edades;Dato base;2017SM47;8.217
Total Nacional;;Total;Todas las edades;Dato base;2017SM46;8.111
Total Nacional;;Total;Todas las edades;Dato base;2017SM45;7.669
Total Nacional;;Total;Todas las edades;Dato base;2017SM44;7.550
Total Nacional;;Total;Todas las edades;Dato base;2017SM43;7.343
Total Nacional;;Total;Todas las edades;Dato base;2017SM42;7.467
Total Nacional;;Total;Todas las edades;Dato base;2017SM41;7.289
Total Nacional;;Total;Todas las edades;Dato base;2017SM40;7.454
Total Nacional;;Total;Todas las edades;Dato base;2017SM39;7.430
Total Nacional;;Total;Todas las edades;Dato base;2017SM38;7.146
Total Nacional;;Total;Todas las edades;Dato base;2017SM37;6.791
Total Nacional;;Total;Todas las edades;Dato base;2017SM36;6.728
Total Nacional;;Total;Todas las edades;Dato base;2017SM35;7.063
Total Nacional;;Total;Todas las edades;Dato base;2017SM34;7.255
Total Nacional;;Total;Todas las edades;Dato base;2017SM33;7.165
Total Nacional;;Total;Todas las edades;Dato base;2017SM32;7.229
Total Nacional;;Total;Todas las edades;Dato base;2017SM31;7.646
Total Nacional;;Total;Todas las edades;Dato base;2017SM30;7.152
Total Nacional;;Total;Todas las edades;Dato base;2017SM29;7.310
Total Nacional;;Total;Todas las edades;Dato base;2017SM28;7.254
Total Nacional;;Total;Todas las edades;Dato base;2017SM27;7.206
Total Nacional;;Total;Todas las edades;Dato base;2017SM26;7.190
Total Nacional;;Total;Todas las edades;Dato base;2017SM25;8.038
Total Nacional;;Total;Todas las edades;Dato base;2017SM24;7.863
Total Nacional;;Total;Todas las edades;Dato base;2017SM23;7.108
Total Nacional;;Total;Todas las edades;Dato base;2017SM22;7.142
Total Nacional;;Total;Todas las edades;Dato base;2017SM21;7.723
Total Nacional;;Total;Todas las edades;Dato base;2017SM20;7.550
Total Nacional;;Total;Todas las edades;Dato base;2017SM19;7.663
Total Nacional;;Total;Todas las edades;Dato base;2017SM18;7.578
Total Nacional;;Total;Todas las edades;Dato base;2017SM17;7.706
Total Nacional;;Total;Todas las edades;Dato base;2017SM16;7.613
Total Nacional;;Total;Todas las edades;Dato base;2017SM15;7.839
Total Nacional;;Total;Todas las edades;Dato base;2017SM14;7.851
Total Nacional;;Total;Todas las edades;Dato base;2017SM13;7.874
Total Nacional;;Total;Todas las edades;Dato base;2017SM12;7.920
Total Nacional;;Total;Todas las edades;Dato base;2017SM11;7.945
Total Nacional;;Total;Todas las edades;Dato base;2017SM10;8.264
Total Nacional;;Total;Todas las edades;Dato base;2017SM09;8.422
Total Nacional;;Total;Todas las edades;Dato base;2017SM08;8.717
Total Nacional;;Total;Todas las edades;Dato base;2017SM07;9.064
Total Nacional;;Total;Todas las edades;Dato base;2017SM06;9.691
Total Nacional;;Total;Todas las edades;Dato base;2017SM05;10.679
Total Nacional;;Total;Todas las edades;Dato base;2017SM04;11.130
Total Nacional;;Total;Todas las edades;Dato base;2017SM03;11.380
Total Nacional;;Total;Todas las edades;Dato base;2017SM02;11.471
Total Nacional;;Total;Todas las edades;Dato base;2017SM01;10.771
Total Nacional;;Total;Todas las edades;Dato base;2016SM52;9.907
Total Nacional;;Total;Todas las edades;Dato base;2016SM51;9.006
Total Nacional;;Total;Todas las edades;Dato base;2016SM50;8.648
Total Nacional;;Total;Todas las edades;Dato base;2016SM49;8.153
Total Nacional;;Total;Todas las edades;Dato base;2016SM48;8.363
Total Nacional;;Total;Todas las edades;Dato base;2016SM47;8.127
Total Nacional;;Total;Todas las edades;Dato base;2016SM46;8.113
Total Nacional;;Total;Todas las edades;Dato base;2016SM45;7.808
Total Nacional;;Total;Todas las edades;Dato base;2016SM44;7.275
Total Nacional;;Total;Todas las edades;Dato base;2016SM43;7.549
Total Nacional;;Total;Todas las edades;Dato base;2016SM42;7.245
Total Nacional;;Total;Todas las edades;Dato base;2016SM41;7.093
Total Nacional;;Total;Todas las edades;Dato base;2016SM40;7.133
Total Nacional;;Total;Todas las edades;Dato base;2016SM39;7.094
Total Nacional;;Total;Todas las edades;Dato base;2016SM38;7.017
Total Nacional;;Total;Todas las edades;Dato base;2016SM37;6.701
Total Nacional;;Total;Todas las edades;Dato base;2016SM36;7.277
Total Nacional;;Total;Todas las edades;Dato base;2016SM35;7.159
Total Nacional;;Total;Todas las edades;Dato base;2016SM34;7.228
Total Nacional;;Total;Todas las edades;Dato base;2016SM33;7.158
Total Nacional;;Total;Todas las edades;Dato base;2016SM32;7.275
Total Nacional;;Total;Todas las edades;Dato base;2016SM31;7.475
Total Nacional;;Total;Todas las edades;Dato base;2016SM30;7.333
Total Nacional;;Total;Todas las edades;Dato base;2016SM29;7.412
Total Nacional;;Total;Todas las edades;Dato base;2016SM28;7.482
Total Nacional;;Total;Todas las edades;Dato base;2016SM27;7.552
Total Nacional;;Total;Todas las edades;Dato base;2016SM26;7.385
Total Nacional;;Total;Todas las edades;Dato base;2016SM25;7.208
Total Nacional;;Total;Todas las edades;Dato base;2016SM24;7.192
Total Nacional;;Total;Todas las edades;Dato base;2016SM23;7.621
Total Nacional;;Total;Todas las edades;Dato base;2016SM22;7.299
Total Nacional;;Total;Todas las edades;Dato base;2016SM21;7.348
Total Nacional;;Total;Todas las edades;Dato base;2016SM20;7.591
Total Nacional;;Total;Todas las edades;Dato base;2016SM19;7.428
Total Nacional;;Total;Todas las edades;Dato base;2016SM18;7.659
Total Nacional;;Total;Todas las edades;Dato base;2016SM17;7.506
Total Nacional;;Total;Todas las edades;Dato base;2016SM16;7.630
Total Nacional;;Total;Todas las edades;Dato base;2016SM15;7.911
Total Nacional;;Total;Todas las edades;Dato base;2016SM14;8.036
Total Nacional;;Total;Todas las edades;Dato base;2016SM13;8.417
Total Nacional;;Total;Todas las edades;Dato base;2016SM12;8.332
Total Nacional;;Total;Todas las edades;Dato base;2016SM11;8.872
Total Nacional;;Total;Todas las edades;Dato base;2016SM10;8.703
Total Nacional;;Total;Todas las edades;Dato base;2016SM09;8.689
Total Nacional;;Total;Todas las edades;Dato base;2016SM08;8.707
Total Nacional;;Total;Todas las edades;Dato base;2016SM07;8.519
Total Nacional;;Total;Todas las edades;Dato base;2016SM06;8.589
Total Nacional;;Total;Todas las edades;Dato base;2016SM05;8.506
Total Nacional;;Total;Todas las edades;Dato base;2016SM04;8.522
Total Nacional;;Total;Todas las edades;Dato base;2016SM03;8.829
