Total Nacional;Comunidades y Ciudades Autónomas;Tipo de dato;Periodo;Total
Total Nacional;;Dato base;2014SM44;7.322
Total Nacional;;Dato base;2014SM43;7.360
Total Nacional;;Dato base;2014SM42;7.326
Total Nacional;;Dato base;2014SM41;7.041
Total Nacional;;Dato base;2014SM40;7.000
Total Nacional;;Dato base;2014SM39;6.555
Total Nacional;;Dato base;2014SM38;6.698
Total Nacional;;Dato base;2014SM37;6.728
Total Nacional;;Dato base;2014SM36;7.106
Total Nacional;;Dato base;2014SM35;7.043
Total Nacional;;Dato base;2014SM34;6.684
Total Nacional;;Dato base;2014SM33;6.772
Total Nacional;;Dato base;2014SM32;6.931
Total Nacional;;Dato base;2014SM31;6.891
Total Nacional;;Dato base;2014SM30;7.173
Total Nacional;;Dato base;2014SM29;7.097
Total Nacional;;Dato base;2014SM28;6.779
Total Nacional;;Dato base;2014SM27;6.888
Total Nacional;;Dato base;2014SM26;6.896
Total Nacional;;Dato base;2014SM25;7.291
Total Nacional;;Dato base;2014SM24;7.439
Total Nacional;;Dato base;2014SM23;7.186
Total Nacional;;Dato base;2014SM22;6.877
Total Nacional;;Dato base;2014SM21;6.949
Total Nacional;;Dato base;2014SM20;7.082
Total Nacional;;Dato base;2014SM19;7.383
Total Nacional;;Dato base;2014SM18;7.348
Total Nacional;;Dato base;2014SM17;7.032
Total Nacional;;Dato base;2014SM16;7.295
Total Nacional;;Dato base;2014SM15;7.670
Total Nacional;;Dato base;2014SM14;7.788
Total Nacional;;Dato base;2014SM13;7.761
Total Nacional;;Dato base;2014SM12;8.077
Total Nacional;;Dato base;2014SM11;7.838
Total Nacional;;Dato base;2014SM10;8.152
Total Nacional;;Dato base;2014SM09;8.295
Total Nacional;;Dato base;2014SM08;8.437
Total Nacional;;Dato base;2014SM07;8.858
Total Nacional;;Dato base;2014SM06;9.026
Total Nacional;;Dato base;2014SM05;8.906
Total Nacional;;Dato base;2014SM04;9.100
Total Nacional;;Dato base;2014SM03;9.159
Total Nacional;;Dato base;2014SM02;9.037
Total Nacional;;Dato base;2014SM01;9.080
Total Nacional;;Dato base;2013SM52;8.595
Total Nacional;;Dato base;2013SM51;8.483
Total Nacional;;Dato base;2013SM50;8.175
Total Nacional;;Dato base;2013SM49;8.210
Total Nacional;;Dato base;2013SM48;8.090
Total Nacional;;Dato base;2013SM47;7.495
Total Nacional;;Dato base;2013SM46;7.262
Total Nacional;;Dato base;2013SM45;7.395
Total Nacional;;Dato base;2013SM44;6.922
Total Nacional;;Dato base;2013SM43;7.053
Total Nacional;;Dato base;2013SM42;7.009
Total Nacional;;Dato base;2013SM41;6.555
Total Nacional;;Dato base;2013SM40;6.985
Total Nacional;;Dato base;2013SM39;6.959
Total Nacional;;Dato base;2013SM38;6.503
Total Nacional;;Dato base;2013SM37;6.420
Total Nacional;;Dato base;2013SM36;6.466
Total Nacional;;Dato base;2013SM35;6.510
Total Nacional;;Dato base;2013SM34;6.783
Total Nacional;;Dato base;2013SM33;6.816
Total Nacional;;Dato base;2013SM32;6.770
Total Nacional;;Dato base;2013SM31;6.834
Total Nacional;;Dato base;2013SM30;6.935
Total Nacional;;Dato base;2013SM29;7.102
Total Nacional;;Dato base;2013SM28;7.848
Total Nacional;;Dato base;2013SM27;7.331
Total Nacional;;Dato base;2013SM26;6.949
Total Nacional;;Dato base;2013SM25;6.704
Total Nacional;;Dato base;2013SM24;7.366
Total Nacional;;Dato base;2013SM23;7.210
Total Nacional;;Dato base;2013SM22;7.028
Total Nacional;;Dato base;2013SM21;6.975
Total Nacional;;Dato base;2013SM20;7.065
Total Nacional;;Dato base;2013SM19;7.212
Total Nacional;;Dato base;2013SM18;7.095
Total Nacional;;Dato base;2013SM17;7.058
Total Nacional;;Dato base;2013SM16;7.290
Total Nacional;;Dato base;2013SM15;7.574
Total Nacional;;Dato base;2013SM14;7.584
Total Nacional;;Dato base;2013SM13;7.742
Total Nacional;;Dato base;2013SM12;8.163
Total Nacional;;Dato base;2013SM11;7.990
Total Nacional;;Dato base;2013SM10;8.782
Total Nacional;;Dato base;2013SM09;8.510
Total Nacional;;Dato base;2013SM08;8.538
Total Nacional;;Dato base;2013SM07;8.639
Total Nacional;;Dato base;2013SM06;8.357
Total Nacional;;Dato base;2013SM05;8.385
Total Nacional;;Dato base;2013SM04;8.355
Total Nacional;;Dato base;2013SM03;8.600
Total Nacional;;Dato base;2013SM02;8.447
Total Nacional;;Dato base;2013SM01;7.944
Total Nacional;;Dato base;2012SM52;7.891
Total Nacional;;Dato base;2012SM51;7.892
Total Nacional;;Dato base;2012SM50;8.156
Total Nacional;;Dato base;2012SM49;7.773
Total Nacional;;Dato base;2012SM48;7.359
Total Nacional;;Dato base;2012SM47;7.331
Total Nacional;;Dato base;2012SM46;7.448
Total Nacional;;Dato base;2012SM45;7.406
Total Nacional;;Dato base;2012SM44;7.375
Total Nacional;;Dato base;2012SM43;6.722
Total Nacional;;Dato base;2012SM42;6.906
Total Nacional;;Dato base;2012SM41;6.883
Total Nacional;;Dato base;2012SM40;6.705
Total Nacional;;Dato base;2012SM39;6.316
Total Nacional;;Dato base;2012SM38;6.690
Total Nacional;;Dato base;2012SM37;6.579
Total Nacional;;Dato base;2012SM36;6.696
Total Nacional;;Dato base;2012SM35;6.578
Total Nacional;;Dato base;2012SM34;7.185
Total Nacional;;Dato base;2012SM33;6.874
Total Nacional;;Dato base;2012SM32;6.994
Total Nacional;;Dato base;2012SM31;6.782
Total Nacional;;Dato base;2012SM30;6.879
Total Nacional;;Dato base;2012SM29;6.653
Total Nacional;;Dato base;2012SM28;6.715
